Status,Class,Type,Original Price,Price,Address,Address Lot/Unit,District,List Date,Price Date,Days On Market,City,State,Zip,Picture Count,MLS Number,Contract Date,Closing Date,Hotsheet Date
SOLD,Condominium,Condo,1595000,1595000,500 KAPALUA Dr,23V2,Kapalua,4/19/2023,4/19/2023,72,Lahaina,HI,96761,25,398654,4/21/2023,6/30/2023,6/30/2023
SOLD,Condominium,Condo,1249900,1275000,2191 S Kihei Rd,2-414,Kihei,4/22/2023,6/30/2023,69,Kihei,HI,96753,38,398689,4/27/2023,6/30/2023,6/30/2023
SOLD,Residential,Single Family,995000,1055000,410 Kaiwahine St,,Kihei,4/22/2023,6/30/2023,69,Kihei,HI,96753,1,398698,5/1/2023,6/30/2023,6/30/2023
SOLD,Condominium,Condo,1695000,1738800,3300 Wailea Alanui Dr,40D,Wailea/Makena,4/26/2023,6/30/2023,65,Kihei,HI,96753,35,398717,4/28/2023,6/30/2023,6/30/2023
SOLD,Condominium,Condo,1200000,1145000,10 Kai Makani Loop,A-201,Kihei,4/28/2023,6/30/2023,63,Kihei,HI,96753,43,398751,5/16/2023,6/30/2023,6/30/2023
SOLD,Residential,Single Family,1049000,1049000,254 Anamuli St,,Kahului,4/30/2023,4/30/2023,61,Kahului,HI,96732,30,398746,5/1/2023,6/30/2023,6/30/2023
SOLD,Condominium,Condo,1250000,1290000,2575 S Kihei Rd,F-206,Kihei,5/8/2023,6/30/2023,53,Kihei,HI,96753,45,398820,6/2/2023,6/30/2023,6/30/2023
SOLD,Residential,Single Family,898000,897500,974 Haiku Rd,,Haiku,5/10/2023,6/30/2023,51,Haiku,HI,96790,27,398839,5/27/2023,6/30/2023,6/30/2023
SOLD,Residential,Single Family,749000,775000,169 Waiale Rd,,Wailuku,5/11/2023,6/30/2023,50,Wailuku,HI,96793,30,398844,5/16/2023,6/30/2023,6/30/2023
SOLD,Condominium,Condo,585000,590000,3750 Lower Honoapiilani Rd,208,Napili/Kahana/Honokowai,5/12/2023,6/30/2023,49,Lahaina,HI,96761,21,398860,5/13/2023,6/30/2023,6/30/2023
SOLD,Condominium,Condo,889000,886000,38 KAI MAKANI Loop,Q102,Kihei,6/1/2023,7/2/2023,29,Kihei,HI,96753,45,399026,6/5/2023,6/30/2023,7/2/2023
ACTIVE,Vacant Land,Vacant Land,2199000,2199000,364 Anapuni Loop,41,Kaanapali,7/3/2023,7/3/2023,344,Lahaina,HI,96761-2957,27,399281,,,7/3/2023
CANCELED,Fraction-Partial-Interval,Time Interval,18000,18000,2481 Kaanapali Pkwy,461 L,Kaanapali,5/7/2023,6/16/2023,40,Lahaina,HI,96761,3,399142,,,7/3/2023
SOLD,Residential,Single Family,625000,600000,663 linekona Pl,,Wailuku,2/20/2023,7/3/2023,133,Wailuku,HI,96793,1,398176,3/28/2023,7/3/2023,7/3/2023
SOLD,Residential,Single Family w/Att Ohana,1325000,1325000,5000 Lower Honoapiilani Rd,A,Napili/Kahana/Honokowai,3/13/2023,7/3/2023,109,Lahaina,HI,96761,1,399284,3/14/2023,6/30/2023,7/3/2023
SOLD,Fraction-Partial-Interval,Time Interval,18000,18000,2481 Kaanapali Pkwy,461 L,Kaanapali,4/3/2023,4/3/2023,74,Lahaina,HI,96761,13,398534,5/8/2023,6/16/2023,7/3/2023
SOLD,Condominium,Condo,950000,931200,44 KANANI Rd,3-303,Kihei,5/1/2023,7/3/2023,63,Kihei,HI,96753,37,398764,5/11/2023,7/3/2023,7/3/2023
ACTIVE,Condominium,Condo,8900000,8900000,1 Ritz Carlton Dr,1626,Kapalua,7/1/2023,7/4/2023,346,Lahaina,HI,96761,44,399288,,,7/4/2023
CANCELED,Vacant Land,Vacant Land,150000,150000,28 Beach Pl,,Molokai,4/24/2023,4/24/2023,68,Kaunakakai,HI,96821,9,398696,,,7/5/2023
SOLD,Condominium,Condo,700000,700000,5510 Honoapiilani Road #B-22 Rd,B-22,Kapalua,4/1/2023,7/5/2023,90,Lahaina,HI,96761,1,399292,4/1/2023,6/30/2023,7/5/2023
